Comment,Designator,Footprint,LCSC Part #
MA22N-1J,X1,MA22N-1J,
1N41480805,D1 D2 D3 D4,D0805-J,
1k,4 33,R0603,
1k2,19,R0603,
1uF,C8 C9 C10 C11 C12 C13 C15 C16 C17 C18 C19,C0402-J,
2n3904,T1,SOT23-BEC,
3pF,C7,C0603-J,
10pF,C1 C2,C0603-J,
15k,20 21,R0603,
20k,25 28 29 30,R0603,
22k,22,R0603,
24k,26 27,R0603,
27k,10 11 31,R0603,
30k,9,R0603,
30pF,C3 C4,C0603-J,
33k,32 48,R0603,
49.9k,38 41 44 46,R0603,
50k,15,R0603,
68k,3,R0603,
100k,2 6 7 12,R0603,
100k,13,R0402,
100k,14 16 23,R0603,
100k,24 34,R0402,
100k,35,R0603,
100k,36,R0402,
100k,39 47 49,R0603,
100nF,C5 C6,C0603-J,
120k,40 45,R0603,
150k,18,R0603,
200k,5 8 17,R0603,
510R,1,R0603,
820pF,C14,C0603-J,
4013T,IC5,TSSOP14J,
LM311T,IC6,TSSOP8J,
TL072JT,IC4,TSSOP8J,
TL074JT,IC1 IC2 IC3,TSSOP14J,
